track_id,track_name,topic_id,topic_name,rank,reference_classification,title,case_number,court,decision_date,source_url,applicability_note,raw_text_path
game,游戏,data,数据引证/销量评价/检测依据,1,administrative_judicial_reference,四川某某科技有限公司与眉山市市场监督管理局、眉山市人民政府行政处罚及行政复议二审行政判决书,(2024)川14行终29号,四川省眉山市中级人民法院,2024-04-15,https://www.pkulaw.com/pfnl/08df102e7c10f206fdd3d5f7f4e5ef63e70adaf329d841c8bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__d9a46e29___2024_川14行终29号.json
game,游戏,data,数据引证/销量评价/检测依据,2,civil_judicial_reference,王越、广州鑫晨网络科技有限公司等网络服务合同纠纷民事一审民事判决书,(2023)粤0192民初1448号,广州互联网法院,2023-04-12,https://www.pkulaw.com/pfnl/08df102e7c10f206fd83f1e429d8c757a7bacc3e254bc132bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__19894e09___2023_粤0192民初1448号.json
game,游戏,data,数据引证/销量评价/检测依据,3,civil_judicial_reference,朱某伟与江西某某信息技术有限公司网络服务合同纠纷一审民事判决书,(2023)赣1104民初2952号,江西省上饶市广信区人民法院（原江西省上饶县人民法院）,2023-07-28,https://www.pkulaw.com/pfnl/08df102e7c10f20600b8aab4f11e3a02309fafe0df7cc609bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__551a4343___2023_赣1104民初2952号.json
game,游戏,data,数据引证/销量评价/检测依据,4,civil_judicial_reference,吴某;杭州某有限公司;王某;郝某网络服务合同纠纷一审民事判决书,(2024)浙0192民初1779号,杭州互联网法院,2024-06-05,https://www.pkulaw.com/pfnl/c7ed112b8012f8168b48bff323e66ba1e52896fa0f88d9d1bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/sector_docx__game__6b073bbb___2024_浙0192民初1779号.json
game,游戏,data,数据引证/销量评价/检测依据,5,civil_judicial_reference,陈锫镪;海南盛昌网络科技有限公司网络服务合同纠纷一审民事判决书,(2025)琼9023民初5336号,海南省澄迈县人民法院,2025-11-07,https://www.pkulaw.com/pfnl/c7ed112b8012f816c2b32aa6e5c637105e9596d10a7f87b5bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10/raw/get_case_list__s07_game_cashout__kw2_no_title_网络游戏_虚假广告_充值_奖励.json
beauty,化妆品/美妆,minor,未成年人保护,1,administrative_judicial_reference,徐州宇彤医疗器械有限公司第一分公司与徐州市泉山区市场监督管理局行政处罚二审行政判决书,(2021)苏03行终63号,江苏省徐州市中级人民法院,2021-04-15,https://www.pkulaw.com/pfnl/c05aeed05a57db0ad1256443bcc49100c88a87bcdf2e77abbdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__medical_beauty_device_guarantee__333bec1e___2021_苏03行终63号.json
beauty,化妆品/美妆,minor,未成年人保护,2,administrative_judicial_reference,徐州宇彤医疗器械有限公司第一分公司与徐州市泉山区市场监督管理局行政处罚一审行政判决书,(2020)苏8601行初134号,徐州铁路运输法院,2020-11-06,https://www.pkulaw.com/pfnl/c05aeed05a57db0afd8fce357649b7c540112e8becb7256abdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10_targeted/raw/s01___2020_苏8601行初134号.json
beauty,化妆品/美妆,minor,未成年人保护,3,administrative_judicial_reference,临澧县食品药品工商质量监督管理局申请强制执行佛山市顺德区欧柯朗照明电气有限公司非诉执行审查裁定书,(2018)湘0724行审5号,湖南省临澧县人民法院,2018-01-16,https://www.pkulaw.com/pfnl/a25051f3312b07f33b1514e08d0a74657da5c6794271b229bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10_targeted/raw/s01___2018_湘0724行审5号.json
beauty,化妆品/美妆,minor,未成年人保护,4,administrative_judicial_reference,某笔业公司、平顶山市新华区市监局罚款再审审查和审判监督行政裁定书,(2025)豫行申1293号,河南省高级人民法院,2025-12-10,https://www.pkulaw.com/pfnl/c7ed112b8012f816cb3359036aebe64e681a125898f2fce2bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_gap_search/20260917_gap10_targeted/raw/s01___2025_豫行申1293号.json
beauty,化妆品/美妆,minor,未成年人保护,5,administrative_judicial_reference,崇阳县市场监督管理局、御升广盈生物科技（深圳）有限公司非诉执行审查行政裁定书,(2020)鄂1223行审52号,湖北省崇阳县人民法院,2020-07-10,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c40842ff9ea78871b0efeb87fc0afa19bdfb.html?way=mcp,同赛道同题组案例。,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__b2d8108c___2020_鄂1223行审52号.json
